track_no	source_row_id	source_work	source_composer	source_recording	source_performers	platform	playlist_name	playlist_visibility	query_attempt	platform_query	source_search_keywords	selected_title	selected_creator_or_artist	selected_album_or_source	selected_duration	selected_url	selected_isrc_or_platform_id	match_status	fallback_used	substitution_reason	expected_order	final_order	order_status	reviewed_by	review_date	notes
049	classical_atlas_049	Violin Concerto in D Major, Op. 61: I. Allegro ma non troppo	Ludwig van Beethoven	Beethoven: Violin Concerto	Jascha Heifetz, Charles Munch, Boston Symphony	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Beethoven Violin Concerto Heifetz Munch Boston	Beethoven Violin Concerto Heifetz Munch Boston							needs_human_review	no		049	049	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
050	classical_atlas_050	Trumpet Concerto in E Major: III. Rondo	Johann Nepomuk Hummel	Hummel: Trumpet Concerto	Alison Balsom, Bremen German Chamber Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Hummel Trumpet Concerto Alison Balsom	Hummel Trumpet Concerto Alison Balsom							needs_human_review	no		050	050	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
051	classical_atlas_051	Symphony No. 8 "Unfinished": I. Allegro moderato	Franz Schubert	Schubert: Symphony No. 8	Carlos Kleiber, Vienna Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Schubert Unfinished Symphony Kleiber Vienna Philharmonic	Schubert Unfinished Symphony Kleiber Vienna Philharmonic							needs_human_review	no		051	051	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
052	classical_atlas_052	Erlkönig, D. 328	Franz Schubert	Schubert: Lieder	Dietrich Fischer-Dieskau, Gerald Moore	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Schubert Erlkönig Fischer-Dieskau Gerald Moore	Schubert Erlkönig Fischer-Dieskau Gerald Moore							needs_human_review	no		052	052	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
053	classical_atlas_053	A Midsummer Night's Dream: Overture	Felix Mendelssohn	Mendelssohn: A Midsummer Night's Dream	Claudio Abbado, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mendelssohn Midsummer Night's Dream Overture Abbado	Mendelssohn Midsummer Night's Dream Overture Abbado							needs_human_review	no		053	053	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
054	classical_atlas_054	Symphonie fantastique: IV. March to the Scaffold	Hector Berlioz	Berlioz: Symphonie fantastique	Colin Davis, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Berlioz Symphonie fantastique Colin Davis LSO	Berlioz Symphonie fantastique Colin Davis LSO							needs_human_review	no		054	054	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
055	classical_atlas_055	Kinderszenen, Op. 15: Träumerei	Robert Schumann	Schumann: Kinderszenen	Vladimir Horowitz	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Schumann Träumerei Horowitz Kinderszenen	Schumann Träumerei Horowitz Kinderszenen							needs_human_review	no		055	055	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
056	classical_atlas_056	Piano Concerto in A Minor, Op. 7: I. Allegro maestoso	Clara Schumann	Clara Schumann: Piano Concerto	Isata Kanneh-Mason, Royal Liverpool Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Clara Schumann Piano Concerto Isata Kanneh-Mason	Clara Schumann Piano Concerto Isata Kanneh-Mason							needs_human_review	no		056	056	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
057	classical_atlas_057	Nocturne in E-flat Major, Op. 9 No. 2	Frédéric Chopin	Chopin: Nocturnes	Arthur Rubinstein	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Chopin Nocturne Op 9 No 2 Rubinstein	Chopin Nocturne Op 9 No 2 Rubinstein							needs_human_review	no		057	057	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
058	classical_atlas_058	Etude in C Minor, Op. 10 No. 12 "Revolutionary"	Frédéric Chopin	Chopin: Etudes	Maurizio Pollini	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Chopin Revolutionary Etude Pollini Op 10 No 12	Chopin Revolutionary Etude Pollini Op 10 No 12							needs_human_review	no		058	058	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
059	classical_atlas_059	Liebestraum No. 3	Franz Liszt	Liszt: Piano Works	Claudio Arrau	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Liszt Liebestraum No 3 Claudio Arrau	Liszt Liebestraum No 3 Claudio Arrau							needs_human_review	no		059	059	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
060	classical_atlas_060	Tristan und Isolde: Prelude	Richard Wagner	Wagner: Tristan und Isolde	Wilhelm Furtwängler, Philharmonia Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Wagner Tristan Prelude Furtwängler Philharmonia	Wagner Tristan Prelude Furtwängler Philharmonia							needs_human_review	no		060	060	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
061	classical_atlas_061	La traviata: Libiamo ne' lieti calici	Giuseppe Verdi	Verdi: La traviata	Carlos Kleiber, Bavarian State Opera	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Verdi La traviata Brindisi Carlos Kleiber	Verdi La traviata Brindisi Carlos Kleiber							needs_human_review	no		061	061	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
062	classical_atlas_062	La bohème: Che gelida manina	Giacomo Puccini	Puccini: La bohème	Herbert von Karajan, Luciano Pavarotti	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Puccini La bohème Che gelida manina Pavarotti Karajan	Puccini La bohème Che gelida manina Pavarotti Karajan							needs_human_review	no		062	062	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
063	classical_atlas_063	Symphony No. 3 in F Major, Op. 90: III. Poco allegretto	Johannes Brahms	Brahms: Symphony No. 3	Claudio Abbado, Berliner Philharmoniker	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Brahms Symphony 3 Abbado Berlin Poco allegretto	Brahms Symphony 3 Abbado Berlin Poco allegretto							needs_human_review	no		063	063	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
064	classical_atlas_064	Violin Concerto in D Major, Op. 77: III. Allegro giocoso	Johannes Brahms	Brahms: Violin Concerto	Jascha Heifetz, Fritz Reiner	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Brahms Violin Concerto Heifetz Reiner	Brahms Violin Concerto Heifetz Reiner							needs_human_review	no		064	064	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
065	classical_atlas_065	Swan Lake, Op. 20: Scene	Pyotr Ilyich Tchaikovsky	Tchaikovsky: Swan Lake	André Previn, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Tchaikovsky Swan Lake Scene Previn LSO	Tchaikovsky Swan Lake Scene Previn LSO							needs_human_review	no		065	065	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
066	classical_atlas_066	Symphony No. 6 "Pathétique": IV. Adagio lamentoso	Pyotr Ilyich Tchaikovsky	Tchaikovsky: Symphony No. 6	Evgeny Mravinsky, Leningrad Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Tchaikovsky Pathetique Mravinsky Leningrad	Tchaikovsky Pathetique Mravinsky Leningrad							needs_human_review	no		066	066	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
067	classical_atlas_067	Symphony No. 9 "From the New World": II. Largo	Antonín Dvořák	Dvořák: Symphony No. 9	István Kertész, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Dvorak New World Symphony Kertesz LSO Largo	Dvorak New World Symphony Kertesz LSO Largo							needs_human_review	no		067	067	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
068	classical_atlas_068	Má vlast: Vltava	Bedřich Smetana	Smetana: Má vlast	Rafael Kubelík, Czech Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Smetana Vltava Moldau Kubelik Czech Philharmonic	Smetana Vltava Moldau Kubelik Czech Philharmonic							needs_human_review	no		068	068	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
069	classical_atlas_069	Peer Gynt Suite No. 1: Morning Mood	Edvard Grieg	Grieg: Peer Gynt	Herbert von Karajan, Berliner Philharmoniker	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Grieg Morning Mood Karajan Berlin Philharmonic	Grieg Morning Mood Karajan Berlin Philharmonic							needs_human_review	no		069	069	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
070	classical_atlas_070	Pictures at an Exhibition: The Great Gate of Kiev	Modest Mussorgsky	Mussorgsky/Ravel: Pictures at an Exhibition	Georg Solti, Chicago Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mussorgsky Pictures Great Gate Kiev Solti Chicago	Mussorgsky Pictures Great Gate Kiev Solti Chicago							needs_human_review	no		070	070	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
071	classical_atlas_071	Scheherazade: I. The Sea and Sinbad's Ship	Nikolai Rimsky-Korsakov	Rimsky-Korsakov: Scheherazade	Fritz Reiner, Chicago Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Rimsky-Korsakov Scheherazade Reiner Chicago	Rimsky-Korsakov Scheherazade Reiner Chicago							needs_human_review	no		071	071	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
072	classical_atlas_072	Symphony No. 1: III. Feierlich und gemessen	Gustav Mahler	Mahler: Symphony No. 1	Leonard Bernstein, Royal Concertgebouw Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mahler Symphony 1 Bernstein Concertgebouw	Mahler Symphony 1 Bernstein Concertgebouw							needs_human_review	no		072	072	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
073	classical_atlas_073	Prélude à l'après-midi d'un faune	Claude Debussy	Debussy: Orchestral Works	Pierre Boulez, Cleveland Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Debussy Prelude afternoon of a faun Boulez Cleveland	Debussy Prelude afternoon of a faun Boulez Cleveland							needs_human_review	no		073	073	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
074	classical_atlas_074	La mer: I. De l'aube à midi sur la mer	Claude Debussy	Debussy: La mer	Claudio Abbado, Lucerne Festival Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Debussy La mer Abbado Lucerne	Debussy La mer Abbado Lucerne							needs_human_review	no		074	074	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
075	classical_atlas_075	Images, Book I: Reflets dans l'eau	Claude Debussy	Debussy: Images	Arturo Benedetti Michelangeli	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Debussy Reflets dans l'eau Michelangeli	Debussy Reflets dans l'eau Michelangeli							needs_human_review	no		075	075	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
076	classical_atlas_076	Pavane pour une infante défunte	Maurice Ravel	Ravel: Piano Works	Alexandre Tharaud	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Ravel Pavane pour une infante défunte Tharaud	Ravel Pavane pour une infante défunte Tharaud							needs_human_review	no		076	076	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
077	classical_atlas_077	Daphnis et Chloé Suite No. 2: Lever du jour	Maurice Ravel	Ravel: Daphnis et Chloé	Pierre Monteux, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Ravel Daphnis Chloe Lever du jour Monteux LSO	Ravel Daphnis Chloe Lever du jour Monteux LSO							needs_human_review	no		077	077	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
078	classical_atlas_078	Boléro	Maurice Ravel	Ravel: Boléro	Claudio Abbado, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Ravel Bolero Abbado London Symphony	Ravel Bolero Abbado London Symphony							needs_human_review	no		078	078	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
079	classical_atlas_079	Parade: Ragtime du paquebot	Erik Satie	Satie: Parade	Louis Frémaux, City of Birmingham Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Satie Parade Ragtime du paquebot Fremaux	Satie Parade Ragtime du paquebot Fremaux							needs_human_review	no		079	079	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
080	classical_atlas_080	Symphony No. 9: IV. Adagio	Gustav Mahler	Mahler: Symphony No. 9	Claudio Abbado, Berliner Philharmoniker	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Mahler Symphony 9 Adagio Abbado Berlin	Mahler Symphony 9 Adagio Abbado Berlin							needs_human_review	no		080	080	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
081	classical_atlas_081	Salome: Dance of the Seven Veils	Richard Strauss	Strauss: Salome	Georg Solti, Vienna Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Strauss Salome Dance Seven Veils Solti Vienna	Strauss Salome Dance Seven Veils Solti Vienna							needs_human_review	no		081	081	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
082	classical_atlas_082	Prometheus: The Poem of Fire	Alexander Scriabin	Scriabin: Prometheus	Riccardo Muti, Philadelphia Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Scriabin Prometheus Poem of Fire Muti Philadelphia	Scriabin Prometheus Poem of Fire Muti Philadelphia							needs_human_review	no		082	082	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
083	classical_atlas_083	The Unanswered Question	Charles Ives	Ives: Orchestral Works	Leonard Bernstein, New York Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Ives Unanswered Question Bernstein New York Philharmonic	Ives Unanswered Question Bernstein New York Philharmonic							needs_human_review	no		083	083	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
084	classical_atlas_084	The Firebird Suite: Finale	Igor Stravinsky	Stravinsky: The Firebird	Pierre Boulez, Chicago Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Stravinsky Firebird Finale Boulez Chicago	Stravinsky Firebird Finale Boulez Chicago							needs_human_review	no		084	084	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
085	classical_atlas_085	Petrushka: Russian Dance	Igor Stravinsky	Stravinsky: Petrushka	Simon Rattle, City of Birmingham Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Stravinsky Petrushka Russian Dance Simon Rattle	Stravinsky Petrushka Russian Dance Simon Rattle							needs_human_review	no		085	085	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
086	classical_atlas_086	The Rite of Spring: Augurs of Spring	Igor Stravinsky	Stravinsky: The Rite of Spring	Esa-Pekka Salonen, Los Angeles Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Stravinsky Rite of Spring Salonen Los Angeles	Stravinsky Rite of Spring Salonen Los Angeles							needs_human_review	no		086	086	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
087	classical_atlas_087	Five Pieces for Orchestra, Op. 16: Farben	Arnold Schoenberg	Schoenberg: Orchestral Works	Pierre Boulez, BBC Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Schoenberg Five Pieces Orchestra Farben Boulez	Schoenberg Five Pieces Orchestra Farben Boulez							needs_human_review	no		087	087	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
088	classical_atlas_088	Pierrot lunaire: Mondestrunken	Arnold Schoenberg	Schoenberg: Pierrot lunaire	Christine Schäfer, Pierre Boulez	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Schoenberg Pierrot lunaire Mondestrunken Boulez Schafer	Schoenberg Pierrot lunaire Mondestrunken Boulez Schafer							needs_human_review	no		088	088	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
089	classical_atlas_089	Violin Concerto: I. Andante	Alban Berg	Berg: Violin Concerto	Anne-Sophie Mutter, James Levine	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Berg Violin Concerto Anne-Sophie Mutter Levine	Berg Violin Concerto Anne-Sophie Mutter Levine							needs_human_review	no		089	089	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
090	classical_atlas_090	Five Movements for String Quartet, Op. 5	Anton Webern	Webern: Complete Works	Emerson String Quartet	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Webern Five Movements String Quartet Emerson	Webern Five Movements String Quartet Emerson							needs_human_review	no		090	090	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
091	classical_atlas_091	Music for Strings, Percussion and Celesta: I. Andante tranquillo	Béla Bartók	Bartók: Orchestral Works	Georg Solti, Chicago Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bartok Music Strings Percussion Celesta Solti	Bartok Music Strings Percussion Celesta Solti							needs_human_review	no		091	091	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
092	classical_atlas_092	Concerto for Orchestra: IV. Intermezzo interrotto	Béla Bartók	Bartók: Concerto for Orchestra	Fritz Reiner, Chicago Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Bartok Concerto for Orchestra Reiner Chicago	Bartok Concerto for Orchestra Reiner Chicago							needs_human_review	no		092	092	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
093	classical_atlas_093	The Planets: Mars	Gustav Holst	The Planets	Adrian Boult, London Philharmonic Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Holst Planets Mars Adrian Boult	Holst Planets Mars Adrian Boult							needs_human_review	no		093	093	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
094	classical_atlas_094	The Planets: Jupiter	Gustav Holst	The Planets	Adrian Boult, London Philharmonic Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Holst Planets Jupiter Adrian Boult	Holst Planets Jupiter Adrian Boult							needs_human_review	no		094	094	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
095	classical_atlas_095	Sinfonietta: I. Allegretto	Leoš Janáček	Janáček: Sinfonietta	Charles Mackerras, Czech Philharmonic	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Janacek Sinfonietta Mackerras Czech Philharmonic	Janacek Sinfonietta Mackerras Czech Philharmonic							needs_human_review	no		095	095	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
096	classical_atlas_096	El amor brujo: Ritual Fire Dance	Manuel de Falla	Falla: El amor brujo	Ernest Ansermet, Suisse Romande Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Falla Ritual Fire Dance Ansermet	Falla Ritual Fire Dance Ansermet							needs_human_review	no		096	096	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
097	classical_atlas_097	Symphony No. 1 "Classical": I. Allegro	Sergei Prokofiev	Prokofiev: Classical Symphony	Claudio Abbado, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Prokofiev Classical Symphony Abbado LSO	Prokofiev Classical Symphony Abbado LSO							needs_human_review	no		097	097	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
098	classical_atlas_098	Romeo and Juliet: Dance of the Knights	Sergei Prokofiev	Prokofiev: Romeo and Juliet	Valery Gergiev, London Symphony Orchestra	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Prokofiev Romeo Juliet Dance Knights Gergiev	Prokofiev Romeo Juliet Dance Knights Gergiev							needs_human_review	no		098	098	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
