row_id	chapter	period_range	genre_or_form	track_no	after_1900	composer	composer_zh	composer_western	composer_ipa	composer_wiki	work	recommended_recording	performers	search_keywords	strict_search_query	medium_search_query	fallback_search_query	playable_type	apple_search_keywords	difficulty	role
classical_atlas_041	03 Classical Period	c. 1750-1820	concerto	041	no	Wolfgang Amadeus Mozart		Wolfgang Amadeus Mozart	/ˈwʊlfɡæŋ ˌæməˈdeɪəs ˈmoʊtsɑːrt/	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart	Piano Concerto No. 21 in C Major, K. 467: II. Andante	Mozart: Piano Concertos	Murray Perahia, English Chamber Orchestra	Mozart Piano Concerto 21 Perahia English Chamber Orchestra	Wolfgang Amadeus Mozart Piano Concerto No. 21 in C Major, K. 467: II. Andante Murray Perahia, English Chamber Orchestra	Wolfgang Amadeus Mozart Piano Concerto No. 21 in C Major, K. 467: II. Andante	Wolfgang Amadeus Mozart Mozart: Piano Concertos	audio_track	Mozart Piano Concerto 21 Perahia English Chamber Orchestra	basic	Representative listening example for 03 Classical Period.
classical_atlas_042	03 Classical Period	c. 1750-1820	opera	042	no	Wolfgang Amadeus Mozart		Wolfgang Amadeus Mozart	/ˈwʊlfɡæŋ ˌæməˈdeɪəs ˈmoʊtsɑːrt/	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart	Die Zauberflöte: Der Hölle Rache	Mozart: Die Zauberflöte	Georg Solti, Sumi Jo	Mozart Queen of the Night Sumi Jo Solti	Wolfgang Amadeus Mozart Die Zauberflöte: Der Hölle Rache Georg Solti, Sumi Jo	Wolfgang Amadeus Mozart Die Zauberflöte: Der Hölle Rache	Wolfgang Amadeus Mozart Mozart: Die Zauberflöte	audio_track	Mozart Queen of the Night Sumi Jo Solti	basic	Representative listening example for 03 Classical Period.
classical_atlas_043	03 Classical Period	c. 1750-1820	requiem	043	no	Wolfgang Amadeus Mozart		Wolfgang Amadeus Mozart	/ˈwʊlfɡæŋ ˌæməˈdeɪəs ˈmoʊtsɑːrt/	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart	Requiem, K. 626: Lacrimosa	Mozart: Requiem	John Eliot Gardiner, Monteverdi Choir	Mozart Requiem Lacrimosa Gardiner	Wolfgang Amadeus Mozart Requiem, K. 626: Lacrimosa John Eliot Gardiner, Monteverdi Choir	Wolfgang Amadeus Mozart Requiem, K. 626: Lacrimosa	Wolfgang Amadeus Mozart Mozart: Requiem	audio_track	Mozart Requiem Lacrimosa Gardiner	basic	Representative listening example for 03 Classical Period.
classical_atlas_044	03 Classical Period	c. 1750-1820	symphony	044	no	Wolfgang Amadeus Mozart		Wolfgang Amadeus Mozart	/ˈwʊlfɡæŋ ˌæməˈdeɪəs ˈmoʊtsɑːrt/	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart	Symphony No. 40 in G Minor, K. 550: I. Molto allegro	Mozart: Symphonies 40 and 41	Nikolaus Harnoncourt, Royal Concertgebouw Orchestra	Mozart Symphony 40 Harnoncourt Concertgebouw	Wolfgang Amadeus Mozart Symphony No. 40 in G Minor, K. 550: I. Molto allegro Nikolaus Harnoncourt, Royal Concertgebouw Orchestra	Wolfgang Amadeus Mozart Symphony No. 40 in G Minor, K. 550: I. Molto allegro	Wolfgang Amadeus Mozart Mozart: Symphonies 40 and 41	audio_track	Mozart Symphony 40 Harnoncourt Concertgebouw	advanced	Representative listening example for 03 Classical Period.
classical_atlas_045	03 Classical Period	c. 1750-1820	keyboard or piano work	045	no	Ludwig van Beethoven		Ludwig van Beethoven	/ˈlʊdvɪɡ væn ˈbeɪtoʊvən/	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	Piano Sonata No. 8 "Pathétique": II. Adagio cantabile	Beethoven: Piano Sonatas	Daniel Barenboim	Beethoven Pathetique Sonata Adagio Barenboim	Ludwig van Beethoven Piano Sonata No. 8 "Pathétique": II. Adagio cantabile Daniel Barenboim	Ludwig van Beethoven Piano Sonata No. 8 "Pathétique": II. Adagio cantabile	Ludwig van Beethoven Beethoven: Piano Sonatas	audio_track	Beethoven Pathetique Sonata Adagio Barenboim	basic	Representative listening example for 03 Classical Period.
classical_atlas_046	03 Classical Period	c. 1750-1820	symphony	046	no	Ludwig van Beethoven		Ludwig van Beethoven	/ˈlʊdvɪɡ væn ˈbeɪtoʊvən/	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	Symphony No. 3 "Eroica": I. Allegro con brio	Beethoven: Symphonies 1-9	Herbert von Karajan, Berliner Philharmoniker	Beethoven Eroica Karajan Berlin Philharmonic	Ludwig van Beethoven Symphony No. 3 "Eroica": I. Allegro con brio Herbert von Karajan, Berliner Philharmoniker	Ludwig van Beethoven Symphony No. 3 "Eroica": I. Allegro con brio	Ludwig van Beethoven Beethoven: Symphonies 1-9	audio_track	Beethoven Eroica Karajan Berlin Philharmonic	advanced	Representative listening example for 03 Classical Period.
classical_atlas_047	03 Classical Period	c. 1750-1820	symphony	047	no	Ludwig van Beethoven		Ludwig van Beethoven	/ˈlʊdvɪɡ væn ˈbeɪtoʊvən/	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio	Beethoven: Symphonies Nos. 5 and 7	Carlos Kleiber, Vienna Philharmonic	Beethoven Symphony 5 Kleiber Vienna Philharmonic	Ludwig van Beethoven Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio Carlos Kleiber, Vienna Philharmonic	Ludwig van Beethoven Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio	Ludwig van Beethoven Beethoven: Symphonies Nos. 5 and 7	audio_track	Beethoven Symphony 5 Kleiber Vienna Philharmonic	basic	Representative listening example for 03 Classical Period.
classical_atlas_048	03 Classical Period	c. 1750-1820	concerto	048	no	Ludwig van Beethoven		Ludwig van Beethoven	/ˈlʊdvɪɡ væn ˈbeɪtoʊvən/	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	Piano Concerto No. 4 in G Major, Op. 58: I. Allegro moderato	Beethoven: Piano Concertos	Leif Ove Andsnes, Mahler Chamber Orchestra	Beethoven Piano Concerto 4 Andsnes Mahler Chamber Orchestra	Ludwig van Beethoven Piano Concerto No. 4 in G Major, Op. 58: I. Allegro moderato Leif Ove Andsnes, Mahler Chamber Orchestra	Ludwig van Beethoven Piano Concerto No. 4 in G Major, Op. 58: I. Allegro moderato	Ludwig van Beethoven Beethoven: Piano Concertos	audio_track	Beethoven Piano Concerto 4 Andsnes Mahler Chamber Orchestra	advanced	Representative listening example for 03 Classical Period.
classical_atlas_049	03 Classical Period	c. 1750-1820	concerto	049	no	Ludwig van Beethoven		Ludwig van Beethoven	/ˈlʊdvɪɡ væn ˈbeɪtoʊvən/	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	Violin Concerto in D Major, Op. 61: I. Allegro ma non troppo	Beethoven: Violin Concerto	Jascha Heifetz, Charles Munch, Boston Symphony	Beethoven Violin Concerto Heifetz Munch Boston	Ludwig van Beethoven Violin Concerto in D Major, Op. 61: I. Allegro ma non troppo Jascha Heifetz, Charles Munch, Boston Symphony	Ludwig van Beethoven Violin Concerto in D Major, Op. 61: I. Allegro ma non troppo	Ludwig van Beethoven Beethoven: Violin Concerto	audio_track	Beethoven Violin Concerto Heifetz Munch Boston	advanced	Representative listening example for 03 Classical Period.
classical_atlas_050	03 Classical Period	c. 1750-1820	concerto	050	no	Johann Nepomuk Hummel		Johann Nepomuk Hummel	/ˈjoʊhɑːn nəˈpoʊmʊk ˈhʊməl/	https://en.wikipedia.org/wiki/Johann_Nepomuk_Hummel	Trumpet Concerto in E Major: III. Rondo	Hummel: Trumpet Concerto	Alison Balsom, Bremen German Chamber Philharmonic	Hummel Trumpet Concerto Alison Balsom	Johann Nepomuk Hummel Trumpet Concerto in E Major: III. Rondo Alison Balsom, Bremen German Chamber Philharmonic	Johann Nepomuk Hummel Trumpet Concerto in E Major: III. Rondo	Johann Nepomuk Hummel Hummel: Trumpet Concerto	audio_track	Hummel Trumpet Concerto Alison Balsom	advanced	Representative listening example for 03 Classical Period.
classical_atlas_051	04 Romanticism and National Styles	c. 1810-1910	symphony	051	no	Franz Schubert		Franz Schubert	/frɑːnts ˈʃuːbərt/	https://en.wikipedia.org/wiki/Franz_Schubert	Symphony No. 8 "Unfinished": I. Allegro moderato	Schubert: Symphony No. 8	Carlos Kleiber, Vienna Philharmonic	Schubert Unfinished Symphony Kleiber Vienna Philharmonic	Franz Schubert Symphony No. 8 "Unfinished": I. Allegro moderato Carlos Kleiber, Vienna Philharmonic	Franz Schubert Symphony No. 8 "Unfinished": I. Allegro moderato	Franz Schubert Schubert: Symphony No. 8	audio_track	Schubert Unfinished Symphony Kleiber Vienna Philharmonic	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_052	04 Romanticism and National Styles	c. 1810-1910	vocal work	052	no	Franz Schubert		Franz Schubert	/frɑːnts ˈʃuːbərt/	https://en.wikipedia.org/wiki/Franz_Schubert	Erlkönig, D. 328	Schubert: Lieder	Dietrich Fischer-Dieskau, Gerald Moore	Schubert Erlkönig Fischer-Dieskau Gerald Moore	Franz Schubert Erlkönig, D. 328 Dietrich Fischer-Dieskau, Gerald Moore	Franz Schubert Erlkönig, D. 328	Franz Schubert Schubert: Lieder	audio_track	Schubert Erlkönig Fischer-Dieskau Gerald Moore	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_053	04 Romanticism and National Styles	c. 1810-1910	concert overture/theater music	053	no	Felix Mendelssohn		Felix Mendelssohn	/ˈfiːlɪks ˈmɛndəlsoʊn/	https://en.wikipedia.org/wiki/Felix_Mendelssohn	A Midsummer Night's Dream: Overture	Mendelssohn: A Midsummer Night's Dream	Claudio Abbado, London Symphony Orchestra	Mendelssohn Midsummer Night's Dream Overture Abbado	Felix Mendelssohn A Midsummer Night's Dream: Overture Claudio Abbado, London Symphony Orchestra	Felix Mendelssohn A Midsummer Night's Dream: Overture	Felix Mendelssohn Mendelssohn: A Midsummer Night's Dream	audio_track	Mendelssohn Midsummer Night's Dream Overture Abbado	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_054	04 Romanticism and National Styles	c. 1810-1910	symphony	054	no	Hector Berlioz		Hector Berlioz	/ˈhɛktər ˈbɛərlioʊz/	https://en.wikipedia.org/wiki/Hector_Berlioz	Symphonie fantastique: IV. March to the Scaffold	Berlioz: Symphonie fantastique	Colin Davis, London Symphony Orchestra	Berlioz Symphonie fantastique Colin Davis LSO	Hector Berlioz Symphonie fantastique: IV. March to the Scaffold Colin Davis, London Symphony Orchestra	Hector Berlioz Symphonie fantastique: IV. March to the Scaffold	Hector Berlioz Berlioz: Symphonie fantastique	audio_track	Berlioz Symphonie fantastique Colin Davis LSO	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_055	04 Romanticism and National Styles	c. 1810-1910	keyboard or piano work	055	no	Robert Schumann		Robert Schumann	/ˈroʊbərt ˈʃuːmɑːn/	https://en.wikipedia.org/wiki/Robert_Schumann	Kinderszenen, Op. 15: Träumerei	Schumann: Kinderszenen	Vladimir Horowitz	Schumann Träumerei Horowitz Kinderszenen	Robert Schumann Kinderszenen, Op. 15: Träumerei Vladimir Horowitz	Robert Schumann Kinderszenen, Op. 15: Träumerei	Robert Schumann Schumann: Kinderszenen	audio_track	Schumann Träumerei Horowitz Kinderszenen	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_056	04 Romanticism and National Styles	c. 1810-1910	concerto	056	no	Clara Schumann		Clara Schumann	/ˈklɑːrə ˈʃuːmɑːn/	https://en.wikipedia.org/wiki/Clara_Schumann	Piano Concerto in A Minor, Op. 7: I. Allegro maestoso	Clara Schumann: Piano Concerto	Isata Kanneh-Mason, Royal Liverpool Philharmonic	Clara Schumann Piano Concerto Isata Kanneh-Mason	Clara Schumann Piano Concerto in A Minor, Op. 7: I. Allegro maestoso Isata Kanneh-Mason, Royal Liverpool Philharmonic	Clara Schumann Piano Concerto in A Minor, Op. 7: I. Allegro maestoso	Clara Schumann Clara Schumann: Piano Concerto	audio_track	Clara Schumann Piano Concerto Isata Kanneh-Mason	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_057	04 Romanticism and National Styles	c. 1810-1910	nocturne	057	no	Frédéric Chopin		Frédéric Chopin	/ˈfreɪdərɪk ˈʃoʊpæn/	https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin	Nocturne in E-flat Major, Op. 9 No. 2	Chopin: Nocturnes	Arthur Rubinstein	Chopin Nocturne Op 9 No 2 Rubinstein	Frédéric Chopin Nocturne in E-flat Major, Op. 9 No. 2 Arthur Rubinstein	Frédéric Chopin Nocturne in E-flat Major, Op. 9 No. 2	Frédéric Chopin Chopin: Nocturnes	audio_track	Chopin Nocturne Op 9 No 2 Rubinstein	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_058	04 Romanticism and National Styles	c. 1810-1910	etude	058	no	Frédéric Chopin		Frédéric Chopin	/ˈfreɪdərɪk ˈʃoʊpæn/	https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin	Etude in C Minor, Op. 10 No. 12 "Revolutionary"	Chopin: Etudes	Maurizio Pollini	Chopin Revolutionary Etude Pollini Op 10 No 12	Frédéric Chopin Etude in C Minor, Op. 10 No. 12 "Revolutionary" Maurizio Pollini	Frédéric Chopin Etude in C Minor, Op. 10 No. 12 "Revolutionary"	Frédéric Chopin Chopin: Etudes	audio_track	Chopin Revolutionary Etude Pollini Op 10 No 12	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_059	04 Romanticism and National Styles	c. 1810-1910	keyboard or piano work	059	no	Franz Liszt		Franz Liszt	/frɑːnts lɪst/	https://en.wikipedia.org/wiki/Franz_Liszt	Liebestraum No. 3	Liszt: Piano Works	Claudio Arrau	Liszt Liebestraum No 3 Claudio Arrau	Franz Liszt Liebestraum No. 3 Claudio Arrau	Franz Liszt Liebestraum No. 3	Franz Liszt Liszt: Piano Works	audio_track	Liszt Liebestraum No 3 Claudio Arrau	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_060	04 Romanticism and National Styles	c. 1810-1910	opera	060	no	Richard Wagner		Richard Wagner	/ˈrɪtʃərd ˈvɑːɡnər/	https://en.wikipedia.org/wiki/Richard_Wagner	Tristan und Isolde: Prelude	Wagner: Tristan und Isolde	Wilhelm Furtwängler, Philharmonia Orchestra	Wagner Tristan Prelude Furtwängler Philharmonia	Richard Wagner Tristan und Isolde: Prelude Wilhelm Furtwängler, Philharmonia Orchestra	Richard Wagner Tristan und Isolde: Prelude	Richard Wagner Wagner: Tristan und Isolde	audio_track	Wagner Tristan Prelude Furtwängler Philharmonia	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_061	04 Romanticism and National Styles	c. 1810-1910	opera	061	no	Giuseppe Verdi		Giuseppe Verdi	/dʒuːˈsɛpi ˈvɛərdi/	https://en.wikipedia.org/wiki/Giuseppe_Verdi	La traviata: Libiamo ne' lieti calici	Verdi: La traviata	Carlos Kleiber, Bavarian State Opera	Verdi La traviata Brindisi Carlos Kleiber	Giuseppe Verdi La traviata: Libiamo ne' lieti calici Carlos Kleiber, Bavarian State Opera	Giuseppe Verdi La traviata: Libiamo ne' lieti calici	Giuseppe Verdi Verdi: La traviata	audio_track	Verdi La traviata Brindisi Carlos Kleiber	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_062	04 Romanticism and National Styles	c. 1810-1910	opera	062	no	Giacomo Puccini		Giacomo Puccini	/ˈdʒɑːkəmoʊ puːˈtʃiːni/	https://en.wikipedia.org/wiki/Giacomo_Puccini	La bohème: Che gelida manina	Puccini: La bohème	Herbert von Karajan, Luciano Pavarotti	Puccini La bohème Che gelida manina Pavarotti Karajan	Giacomo Puccini La bohème: Che gelida manina Herbert von Karajan, Luciano Pavarotti	Giacomo Puccini La bohème: Che gelida manina	Giacomo Puccini Puccini: La bohème	audio_track	Puccini La bohème Che gelida manina Pavarotti Karajan	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_063	04 Romanticism and National Styles	c. 1810-1910	symphony	063	no	Johannes Brahms		Johannes Brahms	/joʊˈhɑːnəs brɑːmz/	https://en.wikipedia.org/wiki/Johannes_Brahms	Symphony No. 3 in F Major, Op. 90: III. Poco allegretto	Brahms: Symphony No. 3	Claudio Abbado, Berliner Philharmoniker	Brahms Symphony 3 Abbado Berlin Poco allegretto	Johannes Brahms Symphony No. 3 in F Major, Op. 90: III. Poco allegretto Claudio Abbado, Berliner Philharmoniker	Johannes Brahms Symphony No. 3 in F Major, Op. 90: III. Poco allegretto	Johannes Brahms Brahms: Symphony No. 3	audio_track	Brahms Symphony 3 Abbado Berlin Poco allegretto	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_064	04 Romanticism and National Styles	c. 1810-1910	concerto	064	no	Johannes Brahms		Johannes Brahms	/joʊˈhɑːnəs brɑːmz/	https://en.wikipedia.org/wiki/Johannes_Brahms	Violin Concerto in D Major, Op. 77: III. Allegro giocoso	Brahms: Violin Concerto	Jascha Heifetz, Fritz Reiner	Brahms Violin Concerto Heifetz Reiner	Johannes Brahms Violin Concerto in D Major, Op. 77: III. Allegro giocoso Jascha Heifetz, Fritz Reiner	Johannes Brahms Violin Concerto in D Major, Op. 77: III. Allegro giocoso	Johannes Brahms Brahms: Violin Concerto	audio_track	Brahms Violin Concerto Heifetz Reiner	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_065	04 Romanticism and National Styles	c. 1810-1910	ballet	065	no	Pyotr Ilyich Tchaikovsky		Pyotr Ilyich Tchaikovsky	/ˈpjɔːtər ɪlˈjiːtʃ tʃaɪˈkɒfski/	https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky	Swan Lake, Op. 20: Scene	Tchaikovsky: Swan Lake	André Previn, London Symphony Orchestra	Tchaikovsky Swan Lake Scene Previn LSO	Pyotr Ilyich Tchaikovsky Swan Lake, Op. 20: Scene André Previn, London Symphony Orchestra	Pyotr Ilyich Tchaikovsky Swan Lake, Op. 20: Scene	Pyotr Ilyich Tchaikovsky Tchaikovsky: Swan Lake	audio_track	Tchaikovsky Swan Lake Scene Previn LSO	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_066	04 Romanticism and National Styles	c. 1810-1910	symphony	066	no	Pyotr Ilyich Tchaikovsky		Pyotr Ilyich Tchaikovsky	/ˈpjɔːtər ɪlˈjiːtʃ tʃaɪˈkɒfski/	https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky	Symphony No. 6 "Pathétique": IV. Adagio lamentoso	Tchaikovsky: Symphony No. 6	Evgeny Mravinsky, Leningrad Philharmonic	Tchaikovsky Pathetique Mravinsky Leningrad	Pyotr Ilyich Tchaikovsky Symphony No. 6 "Pathétique": IV. Adagio lamentoso Evgeny Mravinsky, Leningrad Philharmonic	Pyotr Ilyich Tchaikovsky Symphony No. 6 "Pathétique": IV. Adagio lamentoso	Pyotr Ilyich Tchaikovsky Tchaikovsky: Symphony No. 6	audio_track	Tchaikovsky Pathetique Mravinsky Leningrad	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_067	04 Romanticism and National Styles	c. 1810-1910	symphony	067	no	Antonín Dvořák		Antonín Dvořák	/ænˈtoʊniːn dəˈvɔːrʒɑːk/	https://en.wikipedia.org/wiki/Anton%C3%ADn_Dvo%C5%99%C3%A1k	Symphony No. 9 "From the New World": II. Largo	Dvořák: Symphony No. 9	István Kertész, London Symphony Orchestra	Dvorak New World Symphony Kertesz LSO Largo	Antonín Dvořák Symphony No. 9 "From the New World": II. Largo István Kertész, London Symphony Orchestra	Antonín Dvořák Symphony No. 9 "From the New World": II. Largo	Antonín Dvořák Dvořák: Symphony No. 9	audio_track	Dvorak New World Symphony Kertesz LSO Largo	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_068	04 Romanticism and National Styles	c. 1810-1910	tone poem	068	no	Bedřich Smetana		Bedřich Smetana	/ˈbɛdrɪx smɛˈtɑːnə/	https://en.wikipedia.org/wiki/Bed%C5%99ich_Smetana	Má vlast: Vltava	Smetana: Má vlast	Rafael Kubelík, Czech Philharmonic	Smetana Vltava Moldau Kubelik Czech Philharmonic	Bedřich Smetana Má vlast: Vltava Rafael Kubelík, Czech Philharmonic	Bedřich Smetana Má vlast: Vltava	Bedřich Smetana Smetana: Má vlast	audio_track	Smetana Vltava Moldau Kubelik Czech Philharmonic	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_069	04 Romanticism and National Styles	c. 1810-1910	theater music/suite	069	no	Edvard Grieg		Edvard Grieg	/ˈɛdvɑːrd ɡriːɡ/	https://en.wikipedia.org/wiki/Edvard_Grieg	Peer Gynt Suite No. 1: Morning Mood	Grieg: Peer Gynt	Herbert von Karajan, Berliner Philharmoniker	Grieg Morning Mood Karajan Berlin Philharmonic	Edvard Grieg Peer Gynt Suite No. 1: Morning Mood Herbert von Karajan, Berliner Philharmoniker	Edvard Grieg Peer Gynt Suite No. 1: Morning Mood	Edvard Grieg Grieg: Peer Gynt	audio_track	Grieg Morning Mood Karajan Berlin Philharmonic	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_070	04 Romanticism and National Styles	c. 1810-1910	keyboard or piano work	070	no	Modest Mussorgsky		Modest Mussorgsky	/ˈmoʊdɛst mʊˈsɔːrɡski/	https://en.wikipedia.org/wiki/Modest_Mussorgsky	Pictures at an Exhibition: The Great Gate of Kiev	Mussorgsky/Ravel: Pictures at an Exhibition	Georg Solti, Chicago Symphony Orchestra	Mussorgsky Pictures Great Gate Kiev Solti Chicago	Modest Mussorgsky Pictures at an Exhibition: The Great Gate of Kiev Georg Solti, Chicago Symphony Orchestra	Modest Mussorgsky Pictures at an Exhibition: The Great Gate of Kiev	Modest Mussorgsky Mussorgsky/Ravel: Pictures at an Exhibition	audio_track	Mussorgsky Pictures Great Gate Kiev Solti Chicago	basic	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_071	04 Romanticism and National Styles	c. 1810-1910	symphonic suite	071	no	Nikolai Rimsky-Korsakov		Nikolai Rimsky-Korsakov	/ˈnɪkəlaɪ ˈrɪmski ˈkɔːrsəkɒf/	https://en.wikipedia.org/wiki/Nikolai_Rimsky-Korsakov	Scheherazade: I. The Sea and Sinbad's Ship	Rimsky-Korsakov: Scheherazade	Fritz Reiner, Chicago Symphony Orchestra	Rimsky-Korsakov Scheherazade Reiner Chicago	Nikolai Rimsky-Korsakov Scheherazade: I. The Sea and Sinbad's Ship Fritz Reiner, Chicago Symphony Orchestra	Nikolai Rimsky-Korsakov Scheherazade: I. The Sea and Sinbad's Ship	Nikolai Rimsky-Korsakov Rimsky-Korsakov: Scheherazade	audio_track	Rimsky-Korsakov Scheherazade Reiner Chicago	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_072	04 Romanticism and National Styles	c. 1810-1910	symphony	072	no	Gustav Mahler		Gustav Mahler	/ˈɡʊstɑːv ˈmɑːlər/	https://en.wikipedia.org/wiki/Gustav_Mahler	Symphony No. 1: III. Feierlich und gemessen	Mahler: Symphony No. 1	Leonard Bernstein, Royal Concertgebouw Orchestra	Mahler Symphony 1 Bernstein Concertgebouw	Gustav Mahler Symphony No. 1: III. Feierlich und gemessen Leonard Bernstein, Royal Concertgebouw Orchestra	Gustav Mahler Symphony No. 1: III. Feierlich und gemessen	Gustav Mahler Mahler: Symphony No. 1	audio_track	Mahler Symphony 1 Bernstein Concertgebouw	advanced	Representative listening example for 04 Romanticism and National Styles.
classical_atlas_073	05 Early Modernism	c. 1890-1918	tone poem	073	yes	Claude Debussy		Claude Debussy	/klɔːd dəˈbjuːsi/	https://en.wikipedia.org/wiki/Claude_Debussy	Prélude à l'après-midi d'un faune	Debussy: Orchestral Works	Pierre Boulez, Cleveland Orchestra	Debussy Prelude afternoon of a faun Boulez Cleveland	Claude Debussy Prélude à l'après-midi d'un faune Pierre Boulez, Cleveland Orchestra	Claude Debussy Prélude à l'après-midi d'un faune	Claude Debussy Debussy: Orchestral Works	audio_track	Debussy Prelude afternoon of a faun Boulez Cleveland	basic	Representative listening example for 05 Early Modernism.
classical_atlas_074	05 Early Modernism	c. 1890-1918	symphonic sketch	074	yes	Claude Debussy		Claude Debussy	/klɔːd dəˈbjuːsi/	https://en.wikipedia.org/wiki/Claude_Debussy	La mer: I. De l'aube à midi sur la mer	Debussy: La mer	Claudio Abbado, Lucerne Festival Orchestra	Debussy La mer Abbado Lucerne	Claude Debussy La mer: I. De l'aube à midi sur la mer Claudio Abbado, Lucerne Festival Orchestra	Claude Debussy La mer: I. De l'aube à midi sur la mer	Claude Debussy Debussy: La mer	audio_track	Debussy La mer Abbado Lucerne	advanced	Representative listening example for 05 Early Modernism.
classical_atlas_075	05 Early Modernism	c. 1890-1918	keyboard or piano work	075	yes	Claude Debussy		Claude Debussy	/klɔːd dəˈbjuːsi/	https://en.wikipedia.org/wiki/Claude_Debussy	Images, Book I: Reflets dans l'eau	Debussy: Images	Arturo Benedetti Michelangeli	Debussy Reflets dans l'eau Michelangeli	Claude Debussy Images, Book I: Reflets dans l'eau Arturo Benedetti Michelangeli	Claude Debussy Images, Book I: Reflets dans l'eau	Claude Debussy Debussy: Images	audio_track	Debussy Reflets dans l'eau Michelangeli	advanced	Representative listening example for 05 Early Modernism.
classical_atlas_076	05 Early Modernism	c. 1890-1918	keyboard or piano work	076	yes	Maurice Ravel		Maurice Ravel	/mɔːˈriːs rəˈvɛl/	https://en.wikipedia.org/wiki/Maurice_Ravel	Pavane pour une infante défunte	Ravel: Piano Works	Alexandre Tharaud	Ravel Pavane pour une infante défunte Tharaud	Maurice Ravel Pavane pour une infante défunte Alexandre Tharaud	Maurice Ravel Pavane pour une infante défunte	Maurice Ravel Ravel: Piano Works	audio_track	Ravel Pavane pour une infante défunte Tharaud	basic	Representative listening example for 05 Early Modernism.
classical_atlas_077	05 Early Modernism	c. 1890-1918	ballet	077	yes	Maurice Ravel		Maurice Ravel	/mɔːˈriːs rəˈvɛl/	https://en.wikipedia.org/wiki/Maurice_Ravel	Daphnis et Chloé Suite No. 2: Lever du jour	Ravel: Daphnis et Chloé	Pierre Monteux, London Symphony Orchestra	Ravel Daphnis Chloe Lever du jour Monteux LSO	Maurice Ravel Daphnis et Chloé Suite No. 2: Lever du jour Pierre Monteux, London Symphony Orchestra	Maurice Ravel Daphnis et Chloé Suite No. 2: Lever du jour	Maurice Ravel Ravel: Daphnis et Chloé	audio_track	Ravel Daphnis Chloe Lever du jour Monteux LSO	advanced	Representative listening example for 05 Early Modernism.
classical_atlas_078	05 Early Modernism	c. 1890-1918	orchestral work	078	yes	Maurice Ravel		Maurice Ravel	/mɔːˈriːs rəˈvɛl/	https://en.wikipedia.org/wiki/Maurice_Ravel	Boléro	Ravel: Boléro	Claudio Abbado, London Symphony Orchestra	Ravel Bolero Abbado London Symphony	Maurice Ravel Boléro Claudio Abbado, London Symphony Orchestra	Maurice Ravel Boléro	Maurice Ravel Ravel: Boléro	audio_track	Ravel Bolero Abbado London Symphony	basic	Representative listening example for 05 Early Modernism.
